Track Name,Artist,Album,Popularity,Duration (min),Added Date
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,86,2.62,10/19/2024
Cool,Gracie Abrams,The Secret of Us (Deluxe),68,3.82,10/17/2024
Where do we go now?,Gracie Abrams,Good Riddance,50,4.06,10/16/2024
Will you cry?,Gracie Abrams,Good Riddance,50,3.84,10/16/2024
You Seemed so Happy,The Japanese House,Good at Falling,41,2.71,10/14/2024
Is It A Crime?,No Guidnce,Is It A Crime? EP,58,2.37,10/14/2024
Daylight,Joji & Diplo,Daylight,64,2.73,10/13/2024
Deadbeat Blues (feat. BEL),Beach Weather & BEL,Deadbeat Blues,26,2.57,10/9/2024
Molly.,OSTON,Molly.,36,2.67,10/9/2024
Paradise,Henry Morris,Jawbreaker,53,2.55,10/9/2024
Got Caught in Amsterdam,Arc De Soleil,The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape,66,2.85,10/6/2024
All Of The Time,Jungle,Loving In Stereo,62,3.03,10/6/2024
Let's Go Back,Jungle,Let's Go Back,70,2.83,10/6/2024
Jealousy - From the Vault,Tove Lo,Queen Of The Clouds: X,40,3.75,10/6/2024
Safety Net,Bea and her Business,Safety Net,59,3.39,10/6/2024
By Design,451,Sierra,50,1.01,10/3/2024
98,Josh Levi,98,27,2.45,10/3/2024
Disco,Surf Curse,Disco,77,2.55,10/2/2024
Waiting For Stevie,Pearl Jam,Dark Matter,43,5.69,10/2/2024
Lost In Space,Foster The People,Lost In Space,47,4.32,10/1/2024
Messy,Lola Young,This Wasn't Meant For You Anyway,83,4.73,10/1/2024
She Stole My Heart,Ark Woods,Hell and HI Water 2,49,3.56,9/30/2024
NEW DROP,Don Toliver,HARDSTONE PSYCHO,81,3.62,9/30/2024
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,83,2.93,9/30/2024
Waterfalls Coming Out Your Mouth,Glass Animals,Dreamland,57,2.7,9/27/2024
Cane Shuga,Glass Animals,How To Be A Human Being,54,3.28,9/27/2024
love kills,mehro,Dark Corners and Alchemy,37,3.26,9/27/2024
Pool House,The Backseat Lovers,When We Were Friends,71,4.49,9/25/2024
Your Love (Déjà Vu),Glass Animals,Dreamland,64,3.91,9/24/2024
You Are the Right One,Sports,Naked All the Time,73,2.88,9/24/2024
Swoon,Beach Weather,What A Drag,52,3.7,9/24/2024
Fool,BØRNS,Dopamine,49,3.64,9/24/2024
A Tear in Space (Airlock),Glass Animals,I Love You So F***ing Much,66,3.4,9/24/2024
Why,Dominic Fike,What Could Possibly Go Wrong,67,2.33,9/24/2024
So Young,Portugal. The Man,Woodstock,66,4.11,9/24/2024
Superposition,Young the Giant,Mirror Master,68,3.85,9/24/2024
the grudge,Olivia Rodrigo,GUTS,75,3.16,9/23/2024
HEAT,Tove Lo & SG Lewis,HEAT,63,3.63,9/23/2024
Dancing In The Flames,The Weeknd,Dancing In The Flames,75,3.67,9/23/2024
"Genesis, pt. ii",RAYE,Genesis.,57,3.48,9/23/2024
ICE,Faouzia,ICE,48,3.09,9/23/2024
